_id,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
387,Jevargi,Gulbarga,Aktar Parveen Nadagouda,F,44,SP,GEN,197259,144563,221,0.15
388,Jevargi,Gulbarga,Kallaling Eshwarappa Hugar,M,50,IND,GEN,197259,144563,330,0.23
389,Jevargi,Gulbarga,Baillappa M. Nelogi,M,57,BSRC,GEN,197259,144563,3066,2.12
390,Jevargi,Gulbarga,Ayyappa,M,41,IND,GEN,197259,144563,382,0.26
391,Jevargi,Gulbarga,Mallikarjun Dundappa Gouda,M,77,KJP,GEN,197259,144563,11865,8.21
392,Jevargi,Gulbarga,Hussain Patel Ijeri,M,53,BSP,GEN,197259,144563,907,0.63
393,Jevargi,Gulbarga,Doddappa Gouda S. Patil Naribola,M,41,BJP,GEN,197259,144563,30338,20.99
394,Jevargi,Gulbarga,Kousarbegam Makubul Patel,F,48,IND,GEN,197259,144563,401,0.28
395,Jevargi,Gulbarga,Kedarlingaya Hiremath,M,55,JD(S),GEN,197259,144563,24920,17.24
396,Jevargi,Gulbarga,Laxmikant Ramarao Kulkarni,M,33,IND,GEN,197259,144563,1956,1.35
397,Jevargi,Gulbarga,Maheshkumar Rathod,M,37,CPI,GEN,197259,144563,1638,1.13
398,Jevargi,Gulbarga,Bheemayya Somayya,M,43,IND,GEN,197259,144563,938,0.65
399,Jevargi,Gulbarga,Devaraj M. Yedihalli,M,38,IND,GEN,197259,144563,563,0.39
400,Shorapur,Yadgir,Narasimhanayak (Rajugouda),M,35,JD(S),ST,220310,146207,60958,41.69
401,Shorapur,Yadgir,Nandkumar Malipatil,M,47,BSRC,ST,220310,146207,2005,1.37
402,Shorapur,Yadgir,Shivaraj Malleshi,M,57,KJP,ST,220310,146207,8239,5.64
403,Shorapur,Yadgir,Raja Venkatappa Nayak,M,56,INC,ST,220310,146207,65033,44.48
404,Shorapur,Yadgir,Prabhulinga Siddapur J,M,25,IND,ST,220310,146207,993,0.68
405,Shorapur,Yadgir,Ramanagouda Bhimarayagouda,M,42,IND,ST,220310,146207,3250,2.22
406,Shorapur,Yadgir,Chandrashekhar Nayak,M,29,IND,ST,220310,146207,724,0.5
407,Shorapur,Yadgir,Madangopal Nayak,M,62,BJP,ST,220310,146207,3249,2.22
408,Shorapur,Yadgir,Ramalingappa (Ramunayak),M,29,JD(U),ST,220310,146207,771,0.53
409,Shorapur,Yadgir,Basavaraj,M,38,IND,ST,220310,146207,985,0.67
410,Shahapur,Yadgir,Sharanabasappagouda Darshanpur,M,53,INC,GEN,188066,127118,49128,38.65
411,Shahapur,Yadgir,Amaranna,M,49,IND,GEN,188066,127118,2225,1.75
412,Shahapur,Yadgir,Shankaranna G.Vanikyal,M,60,BSRC,GEN,188066,127118,1796,1.41
413,Shahapur,Yadgir,Sharanappa Saladapur,M,55,JD(S),GEN,188066,127118,12159,9.57
414,Shahapur,Yadgir,Mohammed Anvar Pasha,M,35,BSP,GEN,188066,127118,1138,0.9
415,Shahapur,Yadgir,Bhimappa,M,32,IND,GEN,188066,127118,2128,1.67
416,Shahapur,Yadgir,Guru Patil Shiraval,M,43,KJP,GEN,188066,127118,54924,43.21
417,Shahapur,Yadgir,Veerannagouda,M,62,BJP,GEN,188066,127118,1484,1.17
418,Shahapur,Yadgir,Appasaheb Gouda,M,44,IND,GEN,188066,127118,1070,0.84
419,Shahapur,Yadgir,Basavaraj Padukote,M,43,IND,GEN,188066,127118,1066,0.84
420,Yadgir,Yadgir,Abdul Nabi Kadloor,M,63,JD(S),GEN,190536,119778,23977,20.02
421,Yadgir,Yadgir,Moulali Anpur,M,54,BSRC,GEN,190536,119778,12721,10.62
422,Yadgir,Yadgir,Chandrashekar Gouda Magnoor,M,38,BJP,GEN,190536,119778,3556,2.97
423,Yadgir,Yadgir,Siddramappa,M,37,IND,GEN,190536,119778,3141,2.62
424,Yadgir,Yadgir,Basannagouda Naikal,M,33,IND,GEN,190536,119778,1758,1.47
