,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
47,Chikkaballapur,Chikkaballapur,K.Sudhakar,M,39,INC,GEN,176367,146709,74914,51.06
48,Chikkodi-Sadalga,Belgaum,Prakash Hukkeri,M,66,INC,GEN,187308,149375,102237,68.44
49,Chikmagalur,Chikmagalur,C.T.Ravi,M,45,BJP,GEN,191175,139045,58683,42.2
50,Chiknayakanhalli,Tumkur,C B Suresh Babu,M,42,JD(S),GEN,198417,160826,60759,37.78
51,Chincholi,Gulbarga,Umesh G. Jadav,M,54,INC,SC,169337,112983,58599,51.87
52,Chintamani,Chikkaballapur,J.K Krishnareddy,M,46,JD(S),GEN,186465,158113,68950,43.61
53,Chitradurga,Chitradurga,G.H.Thippareddy,M,66,BJP,GEN,225280,163365,62228,38.09
54,Chittapur,Gulbarga,Priyank .M.Kharge,M,34,INC,SC,190429,123716,69379,56.08
55,Dasarahalli,Bangalore Urban,S Muniraju,M,55,BJP,GEN,344606,191258,57562,30.1
56,Davanagere North,Davangere,S.S.Mallikarjun,M,45,INC,GEN,208005,134450,88101,65.53
57,Davanagere South,Davangere,Shamanur Shivashankarappa,M,81,INC,GEN,182370,120410,66320,55.08
58,Devadurga,Raichur,A Venkatesh Naik,M,76,INC,ST,182856,127422,62070,48.71
59,Devanahalli,Bangalore Rural,Pillamunishamappa,M,48,JD(S),SC,185376,153547,70323,45.8
60,Devar Hippargi,Bijapur,Aminappagouda Patil,M,44,INC,GEN,178141,115245,36231,31.44
61,Dharwad,Dharwad,Vinay Kulkarni,M,46,INC,GEN,183561,133018,53453,40.18
62,Doddaballapur,Bangalore Rural,T.Venkataramanaiah,M,52,INC,GEN,183115,148302,38877,26.21
63,Gadag,Gadag,H K Patil,M,60,INC,GEN,191106,136314,70475,51.7
64,Gandhi Nagar,B.B.M.P(Central),Dinesh Gundu Rao,M,43,INC,GEN,192936,110828,54968,49.6
65,Gangawati,Koppal,Iqbal Ansari,M,51,JD(S),GEN,170865,125343,60303,48.11
66,Gauribidanur,Chikkaballapur,N H Shivashankara Reddy,M,59,INC,GEN,186720,149168,50131,33.61
67,Gokak,Belgaum,Jarkiholi Ramesh Laxmanrao,M,52,INC,GEN,202371,144327,79175,54.86
68,Govindraj Nagar,B.B.M.P(South),Priyakrishna,M,29,INC,GEN,239465,131237,72654,55.36
