,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
164,Basavanagudi,Ravisubramanya.L.A,BJP,64.0,1.0,105246376.0,58185380.0,Postgraduates,"BA from Bangalore University in 1984, MBA from CSM Institute of Graduate Studies in 2004",GEN,B.B.M.P(South),"Member of Karnataka Legislative Assembly 2018, Drawing Salary, Interest Income on Deposits and Agriculture Income",Income from running education institute and Interest on Deposits,"Politics / Public Service, Banking / Finance","Education / Academia, Banking / Finance",78854,M,1,118929,114656,2,233587,170,128286
165,Mandya,Ravikumar Gowda (Ganiga),INC,43.0,7.0,215440276.0,181240006.0,Higher Secondary Education,"PUC from Government Pre-University College, Malleshwaram, Bengaluru",GEN,Mandya,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,61411,M,0,109953,114243,33,224229,189,174546
166,Govindraj Nagar,Priyakrishna,INC,39.0,1.0,11568393089.0,9471509087.0,Postgraduates,"Master of Arts from Karnataka State Open University, Mysuru In 2007, LLB from Bangalore University In 2008",GEN,B.B.M.P(South),Business,N.A.,Business / Entrepreneurship,Not Given,82134,M,0,152854,143484,42,296380,166,161453
167,Ranibennur,Prakash Koliwad,INC,54.0,0.0,646462474.0,,Graduates,B.E. Malnad Technical College Hassan in 1987-91,GEN,Haveri,Business and Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,71830,M,0,119657,117383,15,237055,87,193020
168,Padmanaba Nagar,R Ashoka,BJP,65.0,1.0,873525360.0,95699826.0,Graduates,"B.Sc. from VV Puram College of Science, Bangalore University in 1979-80",GEN,B.B.M.P(South),"Agriculturalist , Public Servant","Agriculturalist , Homemaker","Politics / Public Service, Agriculture / Farming","Agriculture / Farming, Not Given",98750,M,1,141867,137055,21,278943,171,159991
169,Shorapur,Raja Venkatappa Naik,INC,66.0,6.0,232952188.0,7930000.0,Postgraduates,"MBBS (Not Completed) from MR Medical College Gulbarga in 1981, PUC from Nuthana Vidyalaya Junior College Kulburgi in 1979",ST,Yadgir,Social Worker,House wife,Social Work / Activism,Not Given,113559,M,0,139039,136359,21,275419,36,207530
170,Bidar,Rahim Khan,INC,57.0,0.0,838440950.0,51042019.0,Higher Secondary Education,"PUC II Year (Science) from Department of Pre University Education, Bangalore (Board) Govt. Junior College, Bidar in 1985",GEN,Bidar,"Social Worker, Educationalist Agriculture","Spouse-1 House Wife Agriculture, Spouse 2- House Wife Agriculture","Social Work / Activism, Education / Academia, Agriculture / Farming","Agriculture / Farming, Not Given",69165,M,1,115324,112579,17,227920,50,150277
171,Shivajinagar,R Roshan Baig,INC,43.0,4.0,215163515.0,70653192.0,Graduates,"Bachelor of Commerce from University of Musuru- St. Philomenas College, Mysuru in 2000-2001",GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,64913,M,1,97685,96360,10,194055,162,110447
172,Kolar Gold Field,Roopakala.M,INC,43.0,2.0,123332000.0,14900000.0,Postgraduates,Master of Arts in Political Science from Karnataka State Open University in 2012,SC,Kolar,Social Service Business,Government Service,"Business / Entrepreneurship, Social Work / Activism",Politics / Public Service,81569,F,1,99063,100165,42,199270,146,148051
173,Haveri,Rudrappa Manappa Lamani,INC,64.0,0.0,103682530.0,34963476.0,Graduates,B A Karnataka University Dharwad in 1979-82,SC,Haveri,Social Service and Agriculture,Asst. Teacher,"Social Work / Activism, Agriculture / Farming",Education / Academia,93827,M,0,119236,113850,7,233093,84,181383
174,Sakaleshpur,S Manjunatha,BJP,41.0,0.0,63925113.0,18164398.0,Secondary Education,SSLC from M Manasa Highschool Sakaleshpura in the year 1996-97,SC,Hassan,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,58604,M,0,101887,102576,5,204468,199,164898
175,Chittapur,Priyank Kharge,INC,44.0,9.0,168310621.0,2875000.0,Diploma Holders,"I PUC from MES College, Malleshwaram in 1996, Certified Professional in Computer Arts Animation in 1999",SC,Gulbarga,Business,House Wife,Business / Entrepreneurship,Cound't Classify,81323,M,1,118082,117630,11,235723,40,153195
176,Yelahanka,S.R.Vishwanath,BJP,60.0,2.0,635856313.0,7765280.0,Graduates,"Bachelor of Arts, Govt Arts College Blore and ITI, MS Jairam Institute of Technology, Blore. NAC BEML.",GEN,Bangalore Urban,"Agriculture, Social Worker, MLA and President of Bengaluru Development Authority","Agriculture, Business and Social Worker","Social Work / Activism, Agriculture / Farming, Politics / Public Service","Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",141538,M,1,223529,215272,82,438883,150,274807
177,Rajaji Nagar,S Suresh Kumar,BJP,67.0,0.0,47813737.0,,Postgraduates,B.Sc. and LL.B From Bengaluru University Year 1980,GEN,B.B.M.P(Central),"MLA, Rajajinagar",Freelance Journalist,"Politics / Public Service, Law Enforcement / Security",Media / Journalism,58624,M,1,104899,102619,11,207529,165,118187
178,Krishnarajanagara,Ravishankar D,INC,47.0,1.0,72266997.0,30689870.0,Postgraduates,"BA, LLB From K L E L College Bangalore University in 2002",GEN,Mysore,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,104502,M,0,108118,109649,19,217786,211,188841
179,Gubbi,S R Srinivas (Vasu),INC,60.0,1.0,172899057.0,,Graduates,BA govt arts collage tumakur 1984-1985,GEN,Tumkur,"Business, Agriculture",House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,60520,M,1,90483,90592,11,181086,135,160136
180,Yeshvanthapura,S.T Somashekhar,BJP,65.0,1.0,278815551.0,31433690.0,Graduates,"Bachelor of Science, Government Science College, Bangalore University - October 1980",GEN,Bangalore Urban,Private Transport Business,House Wife,"Transportation / Logistics, Business / Entrepreneurship",Cound't Classify,169149,M,1,287823,276266,83,564172,153,357911
181,Davanagere North,S.S.Mallikarjun (Winner),INC,55.0,1.0,1892037646.0,245804947.0,Graduates,"B.Com. from M.S.B. College of Commerce, Davangere (Mysore University) in 1990",GEN,Davangere,"Chairman, Indian Cane Power Ltd., Davangere","Director, Indian Cane Power Ltd., Davangere",Agriculture / Farming,Business / Entrepreneurship,94019,,0,119353,121841,38,241232,106,167891
182,Bagepalli,S.N. Subbareddy(Chinnakayalapalli),INC,56.0,0.0,3136194537.0,700769159.0,Secondary Education,"SSLC from Govt. High School Gulur Bagepalli Taluk In 1983, Techer Certificate Higher from Venkateshwara TCH Training Colelge Marathahalli, Bangalore In 1986",GEN,Chikkaballapur,Business Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,82128,M,1,99625,101367,29,201021,140,173372
183,Bangarapet,S.N.Narayanaswamy K.M,INC,55.0,1.0,462691047.0,144910671.0,Graduates,"Bachelor of Arts from Gandhi Instiitute of Technology and Management (GITAM) Deemed to be Unversity, Completed in the Year 2021",SC,Kolar,"Social Worker, Business Agriculture",House Wife Business,"Social Work / Activism, Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,77292,M,1,102135,102895,40,205070,147,164294
184,Mulbagal,Samruddhi V. Manjunath,JD(S),41.0,2.0,597023550.0,174598335.0,Higher Secondary Education,"PUC , Government Boys Pre University College, Srinivaspura in 2001",SC,Kolar,"Builder and Developer, Film Producer",Director in Private Company Limited,"Construction / Real Estate, Arts / Entertainment",Business / Entrepreneurship,94254,M,0,107534,109018,11,216563,145,176501
185,Davanagere South,Shamanur Shivashankarappa,INC,91.0,1.0,3127529622.0,177404944.0,Secondary Education,"S.S.L.C. from Government High School, Davangere in 1949",GEN,Davangere,Businessman,Deceased,Business / Entrepreneurship,Cound't Classify,84298,M,1,104762,105873,33,210668,107,146382
186,Dasarahalli,S. Muniraju,BJP,64.0,0.0,283646819.0,,Secondary Education,"SSLC passed in the year 1975 at Bapu Multi Purpose High School Hesaragatta, Bangalore North Taluk",GEN,Bangalore Urban,Income from Business and Agriculture Pension as former MLA,Business and Agriculture,"Business / Entrepreneurship, Agriculture / Farming, Military / Defense","Business / Entrepreneurship, Agriculture / Farming",91289,M,0,243448,213521,77,457046,155,229641
187,Kalghatgi,Santosh S Lad,INC,48.0,8.0,1387295352.0,263932858.0,Graduates,"B.Com from SESS College Sandur, Bellary District in 1997",GEN,Dharwad,Business Entrepreneur,Homemaker,Business / Entrepreneurship,Not Given,85761,M,0,99992,94305,7,194304,75,162253
188,Karwar,Satish Krishna Sail,INC,57.0,14.0,568440450.0,176330172.0,Graduates,"B.Sc. from Government Arts Science College, Karwar in 1992",GEN,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,77445,M,0,108142,111125,0,219267,77,164267
189,Yemkanmardi,Satish. L. Jarkiholi,INC,60.0,2.0,1752983696.0,122944347.0,Higher Secondary Education,"PUC From J.S.S. Arts, Science Commerce College, Gokak, Year-1981",ST,Belgaum,Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",100290,M,1,100217,100822,8,201047,10,166446
190,Bommanahalli,Sathish Reddy M,BJP,51.0,0.0,1224981101.0,472438558.0,Secondary Education,"SSLC , RSHS High School Madivala, Bangalore",GEN,B.B.M.P(South),"Social Service, Agriculture Iindustrial","Agriculture, Business and Industrialist","Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship, Construction / Real Estate",113574,M,1,242406,210145,70,452621,175,215037
191,C.V. Raman Nagar,S. Raghu,BJP,53.0,0.0,421036051.0,27585783.0,Postgraduates,"Dimploma in Civil Engineering from Acharya Pata Shala at Bangalore in 1990, Bachelor of Civil Engineer (BE) from Dayananda Sagar College, Bangalore University",SC,B.B.M.P(North),"Business, Social Work - MLA",House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,69228,M,1,142107,128085,117,270309,161,129325
192,Shimoga Rural,Sharada Puryanaik,JD(S),52.0,0.0,30098390.0,13903581.0,Higher Secondary Education,1st PUC from DVS Senior College Shimogga 1987-88,SC,Shimoga,PETROL BANK PARTNERSHIP,DIED,Banking / Finance,Cound't Classify,86340,F,0,105557,106820,6,212383,111,180848
193,Basavakalyan,B. Narayanrao,BJP,47.0,1.0,46520057.0,4607167.0,Postgraduates,M.Ed from Gulbarga University Gulbarga in 2011,GEN,Bidar,Social Work,State Government Employee,Social Work / Activism,Law Enforcement / Security,92920,M,1,128287,118087,5,246379,47,175991
194,Gurmitkal,Sharana Gowda Kandakur,JD(S),41.0,3.0,25519688.0,3053900.0,Graduates,"B.A. from Gulbarga University, Chandrashekhar Education Society Degree College of Arts, Science BBM, Yadgiri Karnataka in 2005",GEN,Yadgir,Business and Agriculture,Retail Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,72297,M,0,123847,124317,3,248167,39,162330
195,Honnali,Shanthana Gowda.D.G.,INC,74.0,2.0,203970523.0,42268521.0,Graduates,"B.Sc. in 1968-69, P.C. Jabin Science College, Karnataka University, Hubli.",GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given,92392,M,0,99735,99204,4,198943,110,170124
196,Hosakote,N Nagaraju (M.T.B),INC,41.0,4.0,1077459876.0,,Technical/Professional Courses,"MS, USA 2005-06",GEN,Bangalore Rural,Social Service and Businessman,Social Service and Business woman,"Social Work / Activism, Business / Entrepreneurship","Social Work / Activism, Business / Entrepreneurship",107220,M,1,116252,117805,22,234079,178,213896
197,Nelamangala,Shreenivasaiah N,INC,37.0,0.0,63520035.0,15287028.0,Postgraduates,"Master of Arts, Bangalore University Bangalore Year of Completion 2008-09, Post Graduation Diploma in Ambedkar Studies, Bangalore University, Bangalore Year of Completion 2010-11",SC,Bangalore Rural,Business Contractor,Business,Business / Entrepreneurship,Business / Entrepreneurship,84229,M,0,107442,109897,105,217444,181,172882
198,Shahapur,Sharanabasappa Gouda Darshanapur,INC,63.0,0.0,152729887.0,9139612.0,Graduates,"Bachelor of Engineering (BE-Civil) from HKE Society (PDA), Gulbarga Gulbaraga University Gulbaraga In 1985",GEN,Yadgir,"Agriculture Business, MLA",Business,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship,78353,M,1,119897,119037,16,238950,37,166714
199,Basavana Bagevadi,Shivanand Patil,INC,61.0,0.0,353912438.0,36954844.0,Diploma Holders,"Diploma in Pharmacy from KLEs J N Medical College, Belgaum in 1981",GEN,Bijapur,Medical Business and Agriculture,"Private Job, Agriculture","Medicine / Healthcare, Business / Entrepreneurship","Engineering / Technology, Agriculture / Farming",68126,M,1,107003,102799,12,209814,28,158446
200,Sringeri,T D Rajegowda,INC,63.0,0.0,328053245.0,,Graduates,"B.Com. From Bandakar Graduate College, Mangalore in 1980",GEN,Chikmagalur,"Landlord , Planter , Partnership Firm Partner","Landlord , Planter , Partnership Firm Partner","Agriculture / Farming, Construction / Real Estate","Agriculture / Farming, Construction / Real Estate",59171,M,1,83575,86804,1,170380,123,141580
201,Kanakagiri,Tangadagi Shivaraj Sangappa,INC,53.0,0.0,170242177.0,82200342.0,Graduates,"B.Sc ,SVM Collage 1991-92",SC,Koppal,Agriculture and Business,Housewife and Busines partner,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,106164,M,0,110587,113446,9,224042,61,176553
202,Terdal,Siddu Savadi,BJP,63.0,2.0,138276813.0,56814596.0,Secondary Education,"SSLC From Sri Prabhulingeshwar High School, Theradala, Year-1976",GEN,Bagalkot,Social Service,Social Service,Social Work / Activism,Social Work / Activism,77265,M,1,113719,113593,18,227330,20,179661
203,Varuna,Siddaramaiah,INC,75.0,13.0,519388910.0,238647976.0,Postgraduates,"LLB from Sharada Vilas Law College, Mysore in 1972",GEN,Mysore,Politician,Director in Prasiddh YS Diagnostics Pvt. Ltd. Partner in BMMN Enterprises PRY Projects LLP,Politics / Public Service,Business / Entrepreneurship,119816,M,0,117155,117365,13,234533,219,199379
204,Hebbal,Suresha B S,INC,51.0,2.0,6481494854.0,1148674685.0,Higher Secondary Education,"PUC from National College, Bangalore in 1991",GEN,B.B.M.P(North),Agriculturist and Land Lord,Agriculturist and Business,Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming",91838,M,0,147155,141720,53,288928,158,159132
205,Sira,T B Jayachandra,INC,74.0,6.0,396849065.0,20534123.0,Postgraduates,"Bachelor of Laws from Vidyodaya Law College, Tumkur in 1972, Bangalore University, Bachelor of Science from Government First College at Tumkur, Mysore University in 1969",GEN,Tumkur,"Social Worker, Agricultist and Non Practicing Advocate",Agriculturist,"Social Work / Activism, Agriculture / Farming, Law / Judiciary",Agriculture / Farming,86084,M,0,112795,110796,13,223604,136,190706
206,Humnabad,Siddu Patil,BJP,45.0,3.0,88073491.0,65320101.0,Graduates,Bachelor of Dental Surgery from Rajiv Gandhi University of Health Sciences Karnataka HKDETs Dental College Hospital Humnabad in 2004,GEN,Bidar,"Business, Agriculture and Social Work",Agriculture Social Service,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism","Social Work / Activism, Agriculture / Farming",75515,M,0,125368,117706,13,243087,48,178807
207,Mangalore,U.T.Abdul Khader,INC,54.0,3.0,69767074.0,6980832.0,Graduates,"L.L.B, Degree. (Mangalore University) S.D.M Law College, Mangalore in Year 2003",GEN,Dakshina Kannada,Advocate,Business,Law / Judiciary,Business / Entrepreneurship,83219,M,1,100688,104432,9,205129,204,159999
208,Challakere,T Raghumurthy,INC,59.0,0.0,221827134.0,,Graduates,"BE ,Civil ,Government B.D.T College ,Davangere Mysuru University in 1985",ST,Chitradurga,"Agriculture , Social Service","House Wife , Business","Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,67952,M,1,109992,110917,3,220912,98,178061
209,Maddur,Udaya K M,INC,48.0,3.0,1026371651.0,32245730.0,Secondary Education,"SSLC From S.C.M.M. High School, Somanahalli-1991",GEN,Mandya,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,87019,M,0,103863,109823,20,213706,187,183390
210,Chickpet,Uday B.Garudachar,BJP,63.0,3.0,2415933555.0,507445439.0,Graduates,Bachelor of Engineering (Electronics) from Bangalore University in 1987,GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,57299,M,1,112769,108420,19,221208,169,128828
211,Karkal,V. Sunil Kumar,BJP,47.0,1.0,79837365.0,,Graduates,B.A. From Kuvempu University in 1997,GEN,Udupi,Agriculture and wage,Agriculture and house wife,Agriculture / Farming,Agriculture / Farming,77028,M,1,91435,99142,0,190577,122,156843
212,Shikaripura,Vijayendra Yediyurappa,BJP,47.0,2.0,1261878468.0,349778318.0,Graduates,LLB from Bangalore University- Sri Jagadguru Renukacharya College of Law In 2000,GEN,Shimoga,"Agriculture, Educationist Business",Business,"Agriculture / Farming, Education / Academia, Business / Entrepreneurship",Business / Entrepreneurship,81810,M,0,99781,99024,3,198808,115,166729
213,Saundatti Yellamma,Vishwas Vasant Vaidya,INC,41.0,1.0,42123113.0,14237007.0,Graduates,"Bachelor of Commerce from C.S.I. College of Commerce, Karnataka University Dharwad in 2004",GEN,Belgaum,Business,Housewife,Business / Entrepreneurship,Education / Academia,71224,M,0,99976,99306,2,199284,17,163317
214,Hirekerur,Ujaneshwar Basavannappa Banakar,INC,63.0,0.0,57439041.0,891826.0,Graduates,LLB University Law College Dharwad in 1984,GEN,Haveri,Lawyer and Agriculture,House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify,85378,M,0,95205,90663,4,185872,86,159497
215,Moodabidri,Umanatha. A. Kotian,BJP,62.0,1.0,49311245.0,5136730.0,Secondary Education,SSLC 1979,GEN,Dakshina Kannada,Social Service,Housewife,Social Work / Activism,Education / Academia,86925,M,1,99105,105955,5,205065,201,158721
216,Dharwad,Vinay Kulkarni,INC,56.0,7.0,190270292.0,,Diploma Holders,"B.S.C(Agri), Agriculture University Dharwad- Incomplete",GEN,Dharwad,"Agriculture Vinaya Dairy Partnership, And Vinaya Goat Farm Owner, And Business, And Social Service",Vinaya Dairy Partnership,"Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Hospitality / Tourism,89333,M,0,107340,106337,10,213687,71,165663
217,Narasimharaja,Tanveer Sait,INC,56.0,1.0,90426367.0,4498975.0,Graduates,"Bachelor of Business Management from University of Mysuru, Vidya Vardhaka College of Commerce and Management, Mysuru in 1991",GEN,Mysore,"Legislator, Business",Business Women,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship,83480,M,1,139994,148667,49,288710,218,184941
218,Mudhol,Timmapur Ramappa Balappa,INC,61.0,1.0,5856080.0,3469000.0,Postgraduates,"BA LLB(Spl)-1991-KPES Law College, Dharwad",SC,Bagalkot,Advocate,House Wife,Law / Judiciary,Cound't Classify,77298,M,0,98938,101925,3,200866,19,158767
219,Kudligi,Srinivas N T,INC,47.0,0.0,159229538.0,30980000.0,Doctorates,"MD(Ophthalmology) - All India Institute of Medical science (AIIMS), New Delhi in 2004",ST,Bellary,Doctor,Doctor,Medicine / Healthcare,Medicine / Healthcare,104753,M,0,103387,100352,14,203753,96,163810
220,Khanapur,Ithal Somanna Halagekar,BJP,60.0,0.0,33375869.0,26669779.0,Postgraduates,"B.Ed. From Sangoli Rayanna College, Belagavi, Year-1987-88 B.Sc. From GSS College Belagavi, Year-1986-87",GEN,Belgaum,Retired Private Servant Agriculture,Anganwadi Worker,Unknown,Social Work / Activism,91834,M,0,109732,102922,10,212664,14,161013
221,Indi,Yashvantharaygouda Vittalagouda Patil,INC,56.0,3.0,116872478.0,35881940.0,Higher Secondary Education,PUC - JSS college Dharward passed in 1987,GEN,Bijapur,Agriculture Member of Parliment,House wife,"Agriculture / Farming, Politics / Public Service",Not Given,71785,M,1,125592,116855,19,242466,32,180859
222,Udupi,Yashpal,BJP,44.0,1.0,69526672.0,28534604.0,Graduates,"PUC from Poorna Prajna Evening College, Udupi in 1995-97, Diploma in Information Technology from MAHE, Manipal in 2000-2001",GEN,Udupi,Business,Unmarried,Business / Entrepreneurship,Cound't Classify,97079,M,0,104787,112148,3,216938,120,166060
223,Sarvagnanagar,K.J. George,INC,,,,,Unknown,Not Available,,B.B.M.P(North),Not Available,Not Available,Cound't Classify,Cound't Classify,118783,,0,184269,181184,65,365518,160,194604
