,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
35,Chamrajpet,B.Z. Zameer Ahmed Khan,INC,55.0,5.0,727258460.0,423926175.0,Unknown,"SSLC Discontinued at Siddhartha High School Kunigal, Tumkur Dist In 1982-83",GEN,B.B.M.P(Central),Business Politics,N.A.,"Business / Entrepreneurship, Politics / Public Service",Not Given,77631,M,1,117899,111960,39,229898,168,124767
36,Bijapur City,Basanagoud .R. Patil (Yatnal),BJP,60.0,4.0,261010514.0,206167799.0,Graduates,B.Com from S S P commerce college bijapur 1983 from kud dharwad,GEN,Bijapur,Agriculture and social service,house wife and social service,"Agriculture / Farming, Social Work / Activism","Not Given, Social Work / Activism",94211,M,1,139699,141826,93,281618,30,183047
37,Raichur Rural,Basanagouda Daddal,INC,51.0,1.0,106206942.0,8731726.0,Higher Secondary Education,"PUC from Sharada Vidyaniketana, Open University Manvi in 2013",ST,Raichur,Agriculture,House Hold and Agriculture,Agriculture / Farming,Agriculture / Farming,89140,M,1,112680,116311,55,229046,53,173361
38,Badami,B.B.Chimmanakatti,INC,39.0,0.0,57071896.0,27148417.0,Graduates,"BBM From Bhagavan Mahaveera Jain College Bangalore, Bangalore University - August-2021",GEN,Bagalkot,Agriculture,Layer and Director of Hyper Megamart and Food Processing Industery Private Limited,Agriculture / Farming,Business / Entrepreneurship,65845,M,0,110952,108819,15,219786,23,169038
39,Arabhavi,Balachandra Lakshmanarao Jarakiholi,BJP,56.0,0.0,356992186.0,1750000.0,Higher Secondary Education,"PUC 1st From J S S Arts, Science and Commerce College, Gokak, Year-1983",GEN,Belgaum,Agriculture Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,115402,M,1,124244,123404,8,247656,8,190105
40,Yelburga,Basavaraj Rayareddi,INC,67.0,0.0,436418121.0,45000000.0,Graduates,B .A. L L B from Dharwad University Dharwad 1981,GEN,Koppal,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,94330,M,0,111884,111144,8,223036,63,176998
41,Aland,Bhojaraj,INC,73.0,0.0,41736617.0,,Postgraduates,"Bachelor of Arts- Karnataka University Dharwad in 1971-72, Bachelor of Law- Karnataka University Dharwad, 1974-75",GEN,Gulbarga,Social service,House wife,Social Work / Activism,Not Given,89508,M,0,125970,115474,34,241478,46,174588
42,Chiknayakanhalli,C B Suresh Babu,JD(S),52.0,0.0,18618000.0,955181.0,Secondary Education,"SSLC from Nalandha English School,Tiptur",GEN,Tumkur,Social Service,Housewife,Social Work / Activism,Education / Academia,71036,M,0,108645,110277,1,218923,128,188657
43,Jayanagar,C K Ramamurthy,BJP,57.0,3.0,339095742.0,47991688.0,Higher Secondary Education,"2nd PUC BSE College, Bangalore",GEN,B.B.M.P(South),"Ex-Corporator, Bruhat Bengaluru Maha Nagara Palike, Business","Ex-Corporator, Bruhat Bengaluru Maha Nagara Palike, Business","Politics / Public Service, Business / Entrepreneurship","Politics / Public Service, Business / Entrepreneurship",57797,M,0,105582,104345,15,209942,173,120743
44,Channagiri,Basavaraju V Shivaganga,INC,42.0,3.0,61261704.0,16751320.0,Graduates,"B.A. A.R.M. Pre-University College, Davanagere In 2001",GEN,Davangere,Agriculture and Busniess,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,78263,M,0,100266,99194,8,199468,109,166402
45,Kagwad,Bharamgouda Alagouda Kage,INC,65.0,0.0,179596137.0,,Graduates,"B.Sc. From R.L.S. College, Belagavi Karnataka University, Dharwar, Year-1980",GEN,Belgaum,Agriculturist,House Wife Agriculturist,Agriculture / Farming,Agriculture / Farming,83387,M,0,99574,95430,4,195008,4,162078
46,Byadgi,Basavaraj Neelappa Shivannanavar,INC,69.0,0.0,44682045.0,23438029.0,Graduates,B.A-G.H College Karnataka University Dharwad -1978,GEN,Haveri,Agriculture and Social worker,Agriculture and House Work,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Not Given",97740,M,0,106154,102577,6,208737,85,175863
47,Sirsi,Bhimanna T. Naik,INC,66.0,0.0,1229747533.0,691398368.0,Primary Education,"7th std govt school besalakoppa ,sirsi ,uttara kannada 1984-85",GEN,Uttara Kannada,"Agriculture ,business",Agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,76887,M,0,100780,99833,2,200615,80,160538
48,Sullia,Bhagirathi Murulya,BJP,48.0,0.0,2825628.0,227500.0,Higher Secondary Education,11th Government Pre University College Sulliya Taluk,SC,Dakshina Kannada,Agriculture,No,Agriculture / Farming,Cound't Classify,93911,F,0,101855,104172,2,206029,207,164732
49,Shravanabelagola,C N Balakrishna,JD(S),54.0,0.0,94997930.0,37251174.0,Graduates,"B.A. in Sri Adichunchanagiri First Grad College Channarayapatna Town Hassan District, Mysore University Course Completed in 1991",GEN,Hassan,Agriculturist,Business,Agriculture / Farming,Business / Entrepreneurship,85668,M,1,101497,103526,3,205026,193,175067
50,Chamarajanagar,C. Puttarangashetty,INC,68.0,2.0,141470148.0,216800500.0,Graduates,B.A completed From Mahadeshwara College Kollegala in 1981-82 Mysore University,GEN,Chamarajnagar,Agriculture and business,Dairying and agriculture,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming,83858,M,0,102588,106891,15,209494,223,173057
51,Shimoga,Channabasappa (Chenni),BJP,59.0,1.0,12098952.0,6530970.0,Primary Education,"9th Standard- D V S High school-1976-77, Shimogga, Karnataka",GEN,Shimoga,Business,House Wife,Business / Entrepreneurship,Cound't Classify,96490,M,0,127441,133249,14,260704,113,179829
52,Nargund,Chandrakantagouda Channappagouda Patil,BJP,64.0,0.0,168145182.0,41104895.0,Secondary Education,"SSLC KE BOARD HIGH SCHOOL, DHARWARD PASSED IN 1977",GEN,Gadag,Agriculture . Minister Salary,House wife,"Politics / Public Service, Agriculture / Farming",Not Given,72835,M,1,94605,91926,7,186538,68,150236
53,Nanjangud,Darshan Dhruvanarayana,INC,28.0,1.0,42597695.0,,Postgraduates,"M.Sc. (Public Policy) from University of Edinburgh, UK in 2020, BA , LLB Hons at Christ University Bengaluru in 2018",SC,Mysore,Advocate by Profession,Not Given,Law / Judiciary,Cound't Classify,109125,M,0,109431,110067,6,219504,214,175864
54,Yadgir,Channareddy Patil Tunnur,INC,75.0,0.0,111827390.0,6745746.0,Graduates,Bachelor of science from karnataka university Dharwad (in completed) in the 1970,GEN,Yadgir,"Social Service, Business, Agriculture","Housewife, Business, Agriculture","Business / Entrepreneurship, Social Work / Activism, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming",53802,M,0,118471,118935,17,237423,38,155002
55,Devar Hippargi,Bhimanagouda (Rajugouda) Basanagouda Patil,JD(S),51.0,0.0,42065952.0,19541521.0,Graduates,B.Sc. Agri- Son-1995-96 Krishi University Dharwad,GEN,Bijapur,Agriculture Business,House wife Agriculture,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Not Given",65952,M,0,112709,106402,20,219131,27,151983
56,Hiriyur,D Sudakar,INC,63.0,2.0,1356940368.0,1151310844.0,Graduates,"B.Com Final year Completed in the year 1980-81, National College Shivamoga, University of Mysore",GEN,Chitradurga,Business,House wife and Business,Business / Entrepreneurship,"Business / Entrepreneurship, Not Given",92050,M,0,120884,122642,15,243541,100,200016
57,Gulbarga Rural,Basawaraj Mattimud,BJP,43.0,0.0,268652641.0,119404161.0,Higher Secondary Education,"PUC from Govt PU College, Gundagurti in 1998",SC,Gulbarga,Agriculture Social Service,Home Maker Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,84466,M,1,132276,125229,36,257541,43,162119
