const_num,total_electors,total_const_votes,Year,constituency
20,220421,173610,2018,Terdal
21,203821,153608,2018,Jamkhandi
22,218220,173318,2018,Bilgi
23,217721,163925,2018,Badami
24,230918,161511,2018,Bagalkot
25,214145,156533,2018,Hungund
26,205694,138798,2018,Muddebihal
27,208670,139079,2018,Devar Hippargi
28,201271,147404,2018,Basavana Bagevadi
29,211779,171645,2018,Babaleshwar
30,247287,151703,2018,Bijapur City
31,260452,175608,2018,Nagthan
32,232095,168111,2018,Indi
33,224963,160496,2018,Sindgi
34,220007,149708,2018,Afzalpur
35,234403,161746,2018,Jevargi
36,275668,197196,2018,Shorapur
37,225803,156430,2018,Shahapur
38,235682,144449,2018,Yadgir
39,245215,151974,2018,Gurmitkal
40,231920,140369,2018,Chittapur
41,215147,158570,2018,Sedam
42,193648,132998,2018,Chincholi
43,250497,152495,2018,Gulbarga Rural
44,263662,144362,2018,Gulbarga Dakshin
45,274281,148552,2018,Gulbarga Uttar
46,233841,160609,2018,Aland
47,224318,145326,2018,Basavakalyan
48,238628,159335,2018,Humnabad
49,199222,138887,2018,Bidar South
50,216853,140623,2018,Bidar
51,224708,167058,2018,Bhalki
52,214461,147409,2018,Aurad
53,233464,161681,2018,Raichur Rural
54,228286,123892,2018,Raichur
55,244675,154053,2018,Manvi
56,227846,157369,2018,Devadurga
57,240984,164149,2018,Lingsugur
58,234521,163464,2018,Sindhanur
59,198451,136716,2018,Maski
60,224827,166054,2018,Kushtagi
61,211567,167506,2018,Kanakagiri
62,194079,147273,2018,Gangawati
63,207232,164667,2018,Yelburga
64,241032,180782,2018,Koppal
65,212260,160604,2018,Shirahatti
66,219575,160490,2018,Gadag
67,224989,170561,2018,Ron
68,187655,144595,2018,Nargund
69,204041,159546,2018,Navalgund
70,187513,147524,2018,Kundgol
71,207025,155630,2018,Dharwad
72,194209,136097,2018,Hubli-Dharwad East
73,242736,147710,2018,Hubli-Dharwad Central
74,255252,157728,2018,Hubli-Dharwad West
75,189693,151902,2018,Kalghatgi
76,172196,132685,2018,Haliyal
77,217910,160098,2018,Karwar
78,180394,146177,2018,Kumta
79,214750,165886,2018,Bhatkal
80,190834,155079,2018,Sirsi
81,170510,140271,2018,Yellapur
82,194354,163997,2018,Hangal
83,213210,171074,2018,Shiggaon
84,221791,170591,2018,Haveri
85,200878,166833,2018,Byadgi
86,179355,150646,2018,Hirekerur
87,230349,179321,2018,Ranibennur
88,182959,139981,2018,Hadagalli
89,221213,176196,2018,Hagaribommanahalli
90,229253,166130,2018,Vijayanagara
91,212841,165760,2018,Kampli
92,203092,152151,2018,Siruguppa
93,219291,163128,2018,Bellary
94,233284,151267,2018,Bellary City
95,211504,157710,2018,Sandur
96,198220,152076,2018,Kudligi
97,231151,192549,2018,Molakalmuru
98,208942,169000,2018,Challakere
99,251003,189358,2018,Chitradurga
100,235486,188787,2018,Hiriyur
101,187137,159846,2018,Hosadurga
102,224444,188486,2018,Holalkere
103,190117,148335,2018,Jagalur
104,203812,168414,2018,Harapanahalli
105,212182,164927,2018,Harihar
106,240405,157327,2018,Davanagere North
107,206760,136073,2018,Davanagere South
108,190528,155163,2018,Mayakonda
109,196265,158094,2018,Channagiri
110,193335,161867,2018,Honnali
111,211546,172248,2018,Shimoga Rural
112,207749,152877,2018,Bhadravati
113,256373,172354,2018,Shimoga
114,184189,156920,2018,Tirthahalli
115,188266,154883,2018,Shikaripura
116,184621,156194,2018,Sorab
117,193884,154944,2018,Sagar
118,222468,176726,2018,Byndoor
119,199617,158644,2018,Kundapura
120,207458,162405,2018,Udupi
121,183004,144448,2018,Kapu
122,181031,145935,2018,Karkal
123,166026,137053,2018,Sringeri
124,170221,131318,2018,Mudigere
125,216230,161138,2018,Chikmagalur
126,182919,149593,2018,Tarikere
127,201915,159688,2018,Kadur
128,212217,180663,2018,Chiknayakanhalli
129,181513,151571,2018,Tiptur
130,181202,153539,2018,Turuvekere
131,190424,161923,2018,Kunigal
132,259542,169871,2018,Tumkur City
133,201767,172332,2018,Tumkur Rural
134,202298,171297,2018,Koratagere
135,182902,155420,2018,Gubbi
136,212652,180264,2018,Sira
137,197250,162911,2018,Pavagada
138,193354,166060,2018,Madhugiri
139,203048,168670,2018,Gauribidanur
140,197982,164528,2018,Bagepalli
141,197826,173467,2018,Chikkaballapur
142,198207,170322,2018,Sidlaghatta
143,214487,180758,2018,Chintamani
144,206007,184508,2018,Srinivaspur
145,203419,164490,2018,Mulbagal
146,190668,139569,2018,Kolar Gold Field
147,193234,157152,2018,Bangarapet
148,225183,179102,2018,Kolar
149,181112,161362,2018,Malur
150,387663,245135,2018,Yelahanka
151,465508,253994,2018,K.R.Pura
152,440396,253709,2018,Byatarayanapura
153,474817,287205,2018,Yeshvanthapura
154,471900,256446,2018,Rajarajeshwarinagar
155,449950,216285,2018,Dasarahalli
156,292364,159880,2018,Mahalakshmi Layout
157,218931,123665,2018,Malleshwaram
158,265312,146690,2018,Hebbal
159,237288,126432,2018,Pulakeshinagar
160,347559,178091,2018,Sarvagnanagar
161,269010,132011,2018,C.V. Raman Nagar
162,196776,108534,2018,Shivajinagar
163,226046,121420,2018,Shanti Nagar
164,229803,126825,2018,Gandhi Nagar
165,211132,120092,2018,Rajaji Nagar
166,292976,157231,2018,Govindraj Nagar
167,312449,156404,2018,Vijay Nagar
168,220951,120209,2018,Chamrajpet
169,223686,128920,2018,Chickpet
170,245328,130043,2018,Basavanagudi
171,278223,161608,2018,Padmanaba Nagar
172,270500,135932,2018,B.T.M.Layout
174,504890,284352,2018,Mahadevapura
175,414080,195510,2018,Bommanahalli
176,603939,319255,2018,Bangalore South
177,359550,227677,2018,Anekal
178,213750,193071,2018,Hosakote
179,202254,171158,2018,Devanahalli
180,203231,168757,2018,Doddaballapur
181,203761,161435,2018,Nelamangala
182,224869,194218,2018,Magadi
183,206999,171652,2018,Ramanagaram
184,222602,186152,2018,Kanakapura
185,217606,189013,2018,Channapatna
186,238777,194675,2018,Malavalli
187,205471,172095,2018,Maddur
188,195487,174965,2018,Melukote
189,227644,165327,2018,Mandya
190,208945,176655,2018,Shrirangapattana
191,206678,181472,2018,Nagamangala
192,205554,174003,2018,Krishnarajpet
193,202255,167261,2018,Shravanabelagola
194,208389,172959,2018,Arsikere
195,190544,152279,2018,Belur
196,212952,154438,2018,Hassan
197,209086,180496,2018,Holenarasipur
198,215604,188904,2018,Arkalgud
199,195717,161008,2018,Sakaleshpur
200,218935,179550,2018,Belthangady
201,200066,152247,2018,Moodabidri
202,234856,176104,2018,Mangalore City North
203,240092,163387,2018,Mangalore City South
204,195746,149358,2018,Mangalore
205,221765,182555,2018,Bantval
206,201948,166271,2018,Puttur
207,198823,168412,2018,Sullia
208,217386,169458,2018,Madikeri
209,217457,157772,2018,Virajpet
210,180460,155716,2018,Periyapatna
211,204182,175017,2018,Krishnarajanagara
212,224619,186228,2018,Hunsur
213,214900,171053,2018,Heggadadevankote
214,209121,163979,2018,Nanjangud
215,295843,226263,2018,Chamundeshwari
216,247135,146908,2018,Krishnaraja
