,name,age,gender,party,votes,percent_votes,constituency,constituency_category,total_electors,voter_turnout
74,C S Niranjan Kumar,44.0,M,BJP,94151,51.476200369596825,Gundlupet,GEN,205646,182902
75,Nagangouda Kandkur,72.0,M,JD(S),79627,52.39514653822364,Gurmitkal,GEN,245215,151974
76,P. T. Parameshwara Naik,54.0,M,INC,54097,38.645959094448536,Hadagalli,SC,182959,139981
77,Bheema Naik L.B.P.,43.0,M,INC,78337,44.46014665486163,Hagaribommanahalli,SC,221213,176196
78,Deshpande R.V,71.0,M,INC,61577,46.40841089799148,Haliyal,GEN,172196,132685
79,C M Udasi,81.0,M,BJP,80529,49.10394702342117,Hangal,GEN,194354,163997
80,R Narendra,60.0,M,INC,60444,35.48578372951806,Hanur,GEN,207662,170333
81,G Karunakara Reddy,56.0,M,BJP,67603,40.14096215279015,Harapanahalli,GEN,203812,168414
82,S Ramappa,59.0,M,INC,64801,39.29071649881463,Harihar,GEN,212182,164927
83,Preetham J Gowda,37.0,M,BJP,63348,41.01840220671078,Hassan,GEN,212952,154438
84,Neharu Olekar,61.0,M,BJP,86565,50.74417759436313,Haveri,SC,221791,170591
85,Suresh B S,46.0,M,INC,74453,50.75533437862158,Hebbal,GEN,265312,146690
86,Anil Kumar C,29.0,M,INC,76652,44.81184194372504,Heggadadevankote,ST,214900,171053
87,Basavanagouda Patil,62.0,M,INC,72461,48.10018188335568,Hirekerur,GEN,179355,150646
88,K Poornima,42.0,F,BJP,77733,41.17497497179361,Hiriyur,GEN,235486,188787
89,M. Chandrappa,66.0,M,BJP,107976,57.28595227231732,Holalkere,SC,224444,188486
90,H D Revanna,60.0,M,JD(S),108541,60.134850633809066,Holenarasipur,GEN,209086,180496
91,M P Renukacharya,57.0,M,BJP,80624,49.80879363922232,Honnali,GEN,193335,161867
92,Gulihatti D Shekar,49.0,M,BJP,90562,56.6557811893948,Hosadurga,GEN,187137,159846
93,N Nagaraju (M.T.B),66.0,M,INC,98824,51.18531524672271,Hosakote,GEN,213750,193071
94,Jagadish Shettar,62.0,M,BJP,75794,51.3127073319342,Hubli-Dharwad Central,GEN,242736,147710
95,Abbayya Prasad,49.0,M,INC,77080,56.63607574009714,Hubli-Dharwad East,SC,194209,136097
96,Arvind Bellad,48.0,M,BJP,96462,61.15718198417529,Hubli-Dharwad West,GEN,255252,157728
97,Umesh Vishwanath Katti,57.0,M,BJP,83588,52.94166080804625,Hukkeri,GEN,194888,157887
98,Rajshekhar,54.0,M,INC,74945,47.03611886904949,Humnabad,GEN,238628,159335
99,Doddanagouda G Patil,61.0,M,BJP,65012,41.53245641494125,Hungund,GEN,214145,156533
100,Adaguru H Vishwanath,68.0,M,JD(S),91667,49.222995467921045,Hunsur,GEN,224619,186228
101,Yashvantharaygouda Vittalagouda Patil,50.0,M,INC,50401,29.980786504154988,Indi,GEN,232095,168111
102,S.V.Ramachandra,60.0,M,BJP,78948,53.22277277783396,Jagalur,ST,190117,148335
103,Siddu Bhimappa Nyamgoud,69.0,M,INC,49245,32.05887714181553,Jamkhandi,GEN,203821,153608
104,Ajay Dharam Singh,44.0,M,INC,68508,42.3552978126198,Jevargi,GEN,234403,161746
105,B.A.Basavaraja,54.0,M,INC,135404,53.30992070678835,K.R.Pura,GEN,465508,253994
106,K S Prakash,53.0,M,BJP,62232,38.970993437202544,Kadur,GEN,201915,159688
107,Shrimant Balasaheb Patil,63.0,M,INC,83060,56.9938587161629,Kagwad,GEN,182173,145735
108,C M Nimbannavar,71.0,M,BJP,83267,54.81626311700965,Kalghatgi,GEN,189693,151902
109,J N Ganesh,39.0,M,INC,80592,48.61969111969111,Kampli,ST,212841,165760
110,Basavaraj Dadesugur,38.0,M,BJP,87735,52.37722827839003,Kanakagiri,SC,211567,167506
111,D K Shivakumar,55.0,M,INC,127552,68.52034896213847,Kanakapura,GEN,222602,186152
112,Lalaji .R. Mendon,58.0,M,BJP,75893,52.54001439964555,Kapu,GEN,183004,144448
113,V. Sunil Kumar,42.0,M,BJP,91245,62.524411553088704,Karkal,GEN,181031,145935
114,Roopali Santosh Naik,45.0,F,BJP,60339,37.688790615747855,Karwar,GEN,217910,160098
115,Dr. Anjali Hemant Nimbalkar,41.0,F,INC,36649,23.764257322379216,Khanapur,GEN,206576,154219
116,Doddagoudar Mahantesh Basavantaray,44.0,M,BJP,73155,49.25864576599871,Kittur,GEN,188915,148512
117,K.Srinivasa Gowda,71.0,M,JD(S),82788,46.22393943116214,Kolar,GEN,225183,179102
118,Roopakala.M,38.0,F,INC,71151,50.97908561356749,Kolar Gold Field,SC,190668,139569
119,N. Mahesh,62.0,M,BSP,71792,42.51292406629913,Kollegal,SC,211555,168871
120,K. Raghavendra Basavaraj Hitnal,39.0,M,INC,98783,54.6420550718545,Koppal,GEN,241032,180782
121,Dr. G. Parameshwara,67.0,M,INC,81598,47.63539349784293,Koratagere,SC,202298,171297
122,S A Ramadas,61.0,M,BJP,78573,53.48449369673537,Krishnaraja,GEN,247135,146908
123,Sa. Ra. Mahesh,52.0,M,JD(S),85011,48.57299576612558,Krishnarajanagara,GEN,204182,175017
124,Narayanagowda,55.0,M,JD(S),88016,50.58303592466797,Krishnarajpet,GEN,205554,174003
125,P.Rajeev,40.0,M,BJP,67781,49.60081373991057,Kudachi,SC,180509,136653
126,N.Y. Gopalakrishna,68.0,M,BJP,50085,32.93419079933717,Kudligi,ST,198220,152076
127,Dinakar Keshav Shetty,60.0,M,BJP,59392,40.63019490070257,Kumta,GEN,180394,146177
128,Halady Srinivas Shetty,67.0,M,BJP,103434,65.19880991402133,Kundapura,GEN,199617,158644
129,Channabasappa Sathyappa Shivalli,56.0,M,INC,64871,43.97318402429435,Kundgol,GEN,187513,147524
130,Dr H.D. Ranganath,46.0,M,INC,58697,36.24994596196958,Kunigal,GEN,190424,161923
131,Amaregouda Linganagouda Patil Bayyapur,64.0,M,INC,87566,52.73344815541932,Kushtagi,GEN,224827,166054
132,D. S. Hoolageri,52.0,M,INC,54230,33.03705779505206,Lingsugur,SC,240984,164149
133,D.C.Thammanna,75.0,M,JD(S),109239,63.475987100148174,Maddur,GEN,205471,172095
134,M.V. Veerabhadraiah,63.0,M,JD(S),88521,53.30663615560641,Madhugiri,GEN,193354,166060
135,Appachu Ranjan M P,61.0,M,BJP,70631,41.68053440970624,Madikeri,GEN,217386,169458
136,A. Manjunath,45.0,M,JD(S),119492,61.52467845410827,Magadi,GEN,224869,194218
137,Aravind Limbavali,51.0,M,BJP,141682,49.82627166329057,Mahadevapura,SC,504890,284352
138,K. Gopalaiah,57.0,M,JD(S),88218,55.17763322491868,Mahalakshmi Layout,GEN,292364,159880
139,Dr.K.Annadani,51.0,M,JD(S),103038,52.92821368948248,Malavalli,SC,238777,194675
140,Dr. Ashwath Narayan.C.N.,50.0,M,BJP,83130,67.22193021469292,Malleshwaram,GEN,218931,123665
141,K.Y. Nanjegowda,56.0,M,INC,75677,46.89889812967117,Malur,GEN,181112,161362
142,M Srinivas,69.0,M,JD(S),69421,41.99011655688424,Mandya,GEN,227644,165327
143,U.T.Abdul Khader,49.0,M,INC,80813,54.106910912036845,Mangalore,GEN,195746,149358
144,Dr.Bharath Shetty. Y,47.0,M,BJP,98648,56.01689910507427,Mangalore City North,GEN,234856,176104
145,D. Vedavyasa Kamath,40.0,M,BJP,86545,52.96933048528952,Mangalore City South,GEN,240092,163387
146,Raja Venkatappa Nayak,46.0,M,JD(S),53548,34.759465898100004,Manvi,ST,244675,154053
147,Pratapgouda Patil,63.0,M,INC,60387,44.1696655841306,Maski,ST,198451,136716
148,N. Linganna.,65.0,M,BJP,50556,32.58251000560701,Mayakonda,SC,190528,155163
149,C S Puttaraju,54.0,M,JD(S),96003,54.86983110907896,Melukote,GEN,195487,174965
150,B. Sreeramulu,47.0,M,BJP,84018,43.63460729476652,Molakalmuru,ST,231151,192549
